Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast40,HomeTeamGoalScoredLast40,HomeTeamGoalConcededLast40,HomeTeamShotTargetLast40,HomeTeamRedLast40,AwayTeamPointLast40,AwayTeamGoalScoredLast40,AwayTeamGoalConcededLast40,AwayTeamShotTargetLast40,AwayTeamRedLast40,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-11-12,Bournemouth,Everton,3,0,H,9,3,0,0,39,41,72,126,3,38,38,61,141,5,7,11,12,30,1,7,12,11,23,1,A
2022-11-12,Liverpool,Southampton,3,1,H,7,5,0,0,89,88,31,260,2,38,44,77,179,1,15,14,2,28,0,0,2,14,16,0,H
2022-11-12,Nottingham,Crystal Palace,1,0,H,2,0,0,0,10,10,30,43,0,52,50,49,164,1,0,0,0,0,0,0,0,0,0,0,D
2022-11-12,Tottenham,Leeds,4,3,H,8,5,0,1,78,85,41,235,1,42,50,83,162,3,12,13,5,33,0,3,5,13,27,0,H
2022-11-12,West Ham,Leicester,0,2,A,6,6,0,0,47,49,52,149,2,51,69,63,176,0,11,15,8,24,0,2,8,15,11,2,A
2022-11-12,Newcastle,Chelsea,1,0,H,3,2,0,0,70,57,46,183,0,69,66,45,201,2,0,0,10,10,0,15,10,0,23,0,A
2022-11-12,Wolves,Arsenal,0,2,A,2,4,0,0,42,34,53,138,5,83,79,46,222,3,3,4,7,19,0,12,7,4,17,4,A
2022-11-13,Brighton,Aston Villa,1,2,A,2,2,0,0,55,52,49,181,1,47,50,55,176,2,1,0,8,15,0,13,8,0,19,0,H
2022-11-13,Fulham,Man United,1,2,A,7,9,0,0,39,38,55,147,3,64,56,59,193,1,2,6,12,23,1,11,12,6,35,0,A
2022-12-26,Brentford,Tottenham,2,2,D,5,8,0,0,49,54,64,164,2,78,87,44,237,1,2,0,4,8,0,8,4,0,12,0,A
2022-12-26,Crystal Palace,Fulham,0,3,A,0,11,2,0,51,47,47,156,1,38,39,57,150,3,8,7,7,29,0,5,7,7,24,1,D
2022-12-26,Everton,Wolves,1,2,A,6,4,0,0,38,38,63,139,5,41,34,55,138,5,3,3,6,18,2,12,6,3,17,0,H
2022-12-26,Leicester,Newcastle,0,3,A,2,5,0,0,51,67,61,174,0,73,58,44,181,0,6,12,8,23,0,9,8,12,26,0,A
2022-12-26,Southampton,Brighton,1,3,A,4,4,0,0,38,45,76,181,1,55,53,49,181,1,4,7,8,22,0,7,8,7,24,0,A
2022-12-26,Aston Villa,Liverpool,1,3,A,6,9,0,0,47,50,55,175,2,89,87,32,258,2,0,3,8,13,0,15,8,3,32,0,A
2022-12-26,Arsenal,West Ham,3,1,H,5,4,0,0,86,81,42,223,3,47,48,52,152,2,13,11,5,37,0,1,5,11,13,2,H
2022-12-27,Chelsea,Bournemouth,2,0,H,5,4,0,0,66,63,46,196,2,41,43,71,132,3,9,6,5,26,0,6,5,6,10,0,H
2022-12-27,Man United,Nottingham,3,0,H,8,3,0,0,67,57,56,199,0,13,11,30,45,0,0,0,0,0,0,0,0,0,0,0,H
2022-12-28,Leeds,Man City,1,3,A,1,9,0,0,42,52,85,160,4,99,114,34,273,1,3,2,23,12,1,12,23,2,49,0,A
