Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointWeightLast20,HomeTeamGoalScoredWeightLast20,HomeTeamGoalConcededWeightLast20,HomeTeamShotTargetWeightLast20,HomeTeamRedWeightLast20,AwayTeamPointWeightLast20,AwayTeamGoalScoredWeightLast20,AwayTeamGoalConcededWeightLast20,AwayTeamShotTargetWeightLast20,AwayTeamRedWeightLast20,FTR_Prediction
2023-03-05,Liverpool,Man United,7,0,H,8,4,0,0,34,27,23,115,0,43,37,21,110,1,0.6491539169655706,0.4275879616543667,0.2288185619447808,1.5820071989773703,0.0,0.7253328639142711,0.3473441451704373,0.0896144386181038,0.7117671317525811,1.3107200000000013e-12,D
2023-03-06,Brentford,Fulham,3,2,H,6,5,0,0,31,29,25,82,0,31,28,24,82,1,0.2643610965988449,0.2800897536303406,0.2611221971272309,1.1887251222638362,0.0,0.1205530366793849,0.3304710851794672,0.5174668330991721,0.8930733364408747,0.008,H
2023-03-11,Bournemouth,Liverpool,1,0,H,2,6,0,0,17,22,35,72,0,34,32,22,117,0,0.6531203072348652,0.6438469632344144,0.4423393799781535,0.7365647274676219,0.0,0.2457695848278838,0.1379398082719069,0.144092809723904,1.910035994886936,0.0,A
2023-03-11,Everton,Brentford,1,0,H,6,4,0,0,18,15,32,65,0,33,31,26,83,0,0.7202048205822468,0.2881921278292997,0.0595268996439421,0.6164425110155743,0.0,0.3218054829942558,0.4004487681517342,0.3056109856361756,0.9436256113192444,0.0,A
2023-03-11,Leeds,Brighton,2,2,D,4,2,0,0,14,21,35,72,2,31,39,28,123,0,0.0400461047465508,0.4081654874243596,1.0184548450791693,1.2794497517042744,0.040000512,0.6256146560886034,0.284804950374786,0.1012564453100618,1.0594282102820072,0.0,A
2023-03-11,Leicester,Chelsea,1,3,A,7,6,1,0,23,30,32,80,0,27,18,17,77,1,0.0245522432563609,0.5137804329929934,1.2432026308596833,1.1457327647393056,0.0,0.749184328212184,0.5072770262643612,0.2401182982160777,0.7842217542550869,8.192000000000004e-10,H
2023-03-11,Tottenham,Nottingham,3,1,H,7,5,0,0,31,34,31,102,2,22,18,33,62,0,0.6288400508069086,1.2513072295529415,0.5208005040590135,2.356267387086921,0.0400000000065536,0.0017032262978214,0.4816139316824848,0.7539338895718823,0.7495385925371194,0.0,H
2023-03-11,Crystal Palace,Man City,0,1,A,0,4,0,0,22,14,23,62,3,44,46,19,114,1,0.2266061416382333,0.0566579611319664,0.0885153965817305,1.9630619042339883,2.048000104857601e-07,0.745192102813164,0.8730538267684059,0.1219385442713469,1.8752843470306333,1.2800000000000005e-05,A
2023-03-12,Fulham,Arsenal,0,3,A,2,7,0,0,31,29,25,84,1,48,45,18,104,0,0.6027651833969248,0.6523554258973571,0.5873341654958919,1.4653666822044256,0.04,0.7493599584632755,0.746259876294668,0.0563207186573112,1.8240392240308845,0.0,A
2023-03-12,Man United,Southampton,0,0,D,4,4,0,0,40,36,28,112,1,14,13,32,73,0,0.6266643195713554,0.7367207258521864,0.4480721930905925,1.5588356587629475,6.5536000000000055e-12,0.0005248004923378,0.0083974393052633,0.2627377858701427,0.2908038072344511,0.0,H
2023-03-12,West Ham,Aston Villa,1,1,D,6,4,0,0,19,21,27,74,0,31,27,29,84,1,0.0291584009255256,0.22114613419201,0.4419878602426705,0.8143377432345524,0.0,0.3296402568972127,0.2416529706667055,0.2024429168542351,0.3819671963542592,6.400000000000002e-05,H
2023-03-12,Newcastle,Wolves,2,1,H,8,4,0,0,35,29,13,94,1,21,16,31,64,4,0.0538719980174704,0.2160204104023408,0.4099226624016987,0.7141160799942424,5.2428800000000056e-14,0.0048131138718584,0.0019381298268838,0.7049176314757515,0.3808655109842273,0.2000153600065536,H
