Date,HomeTeam,AwayTeam,FTR,HomeTeamShotTargetLast20,HomeTeamRatingLast20,AwayTeamShotTargetLast20,AwayTeamRatingLast20,HomeTeamWin%H2HLast10,AwayTeamWin%H2HLast10
2016-02-06,Stoke,Everton,A,67,15.8,94,13.7,50,20
2016-02-06,Swansea,Crystal Palace,D,61,12,75,10.3,20,20
2016-02-06,Tottenham,Watford,H,135,22.9,74,14.8,66.66666667,0
2016-02-07,Bournemouth,Arsenal,A,89,15.4,106,18.7,0,100
2016-02-07,Chelsea,Man United,D,83,15.2,71,16.4,30,30
2016-02-13,Bournemouth,Stoke,A,91,14.6,66,13.9,0,100
2016-02-13,Chelsea,Newcastle,H,86,14.7,84,12.6,40,40
2016-02-13,Crystal Palace,Watford,A,75,10.4,68,13.3,100,0
2016-02-13,Everton,West Brom,A,91,15.3,61,11.8,50,20
2016-02-13,Norwich,West Ham,D,63,8.8,94,16.2,20,40
2016-02-13,Sunderland,Man United,H,72,10.5,75,15.8,10,80
2016-02-13,Swansea,Southampton,A,61,12.4,88,17.9,14.28571429,57.14285714
2016-02-14,Arsenal,Leicester,H,99,19.5,97,24.2,66.66666667,0
2016-02-14,Aston Villa,Liverpool,A,66,9.4,99,14,30,50
2016-02-14,Man City,Tottenham,A,111,18.7,140,23.6,80,20
2016-02-27,Leicester,Norwich,H,95,22.3,64,8.9,100,0
2016-02-27,Southampton,Chelsea,A,85,19.5,84,16.7,20,50
2016-02-27,Stoke,Aston Villa,H,68,15.7,64,9.1,40,20
2016-02-27,Watford,Bournemouth,D,67,14.8,88,13,0,0
2016-02-27,West Brom,Crystal Palace,H,56,13.6,78,9.1,28.57142857,42.85714286
2016-02-27,West Ham,Sunderland,H,97,15.5,75,12.5,30,30
2016-02-28,Tottenham,Swansea,H,137,24.7,60,11.2,77.77777778,0
2016-02-28,Man United,Arsenal,H,78,14.1,103,20.9,50,20
2016-03-01,Aston Villa,Everton,A,61,8.2,95,14,10,50
2016-03-01,Bournemouth,Southampton,H,85,13.2,80,17.8,0,100
