Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10
2015-11-07,West Ham,Everton,1,1,D,P Tierney,5,4,0,0,28,27,25,78,4,32,31,24,90,2,3,11,19,34,3,24,19,11,59,1
2015-11-08,Arsenal,Tottenham,1,1,D,M Atkinson,4,4,0,0,43,36,14,135,2,34,31,20,104,1,14,21,17,69,0,14,17,21,54,2
2015-11-08,Aston Villa,Man City,0,0,D,C Pawson,0,3,0,0,14,22,39,68,1,46,50,19,142,0,6,7,26,45,0,24,26,7,89,0
2015-11-08,Liverpool,Crystal Palace,1,2,A,N Swarbrick,4,4,0,0,25,21,30,95,3,31,25,22,86,1,7,11,13,32,0,10,13,11,26,0
2015-11-21,Chelsea,Norwich,1,0,H,C Pawson,7,2,0,0,28,26,29,80,4,16,20,37,86,2,20,18,4,74,0,2,4,18,28,1
2015-11-21,Everton,Aston Villa,4,0,H,M Oliver,9,3,0,0,30,30,24,91,2,15,22,38,65,1,16,20,14,75,0,10,14,20,42,1
2015-11-21,Man City,Liverpool,1,4,A,J Moss,3,9,0,0,44,47,19,129,0,25,21,30,98,2,15,19,15,44,2,12,15,19,70,1
2015-11-21,Newcastle,Leicester,0,3,A,M Jones,1,7,0,0,14,20,37,78,6,44,42,26,95,0,15,8,6,40,2,6,6,8,30,0
2015-11-21,Southampton,Stoke,0,1,A,L Mason,1,4,0,0,27,31,25,97,3,28,24,20,77,3,7,9,9,29,0,7,9,9,21,1
2015-11-21,Swansea,Bournemouth,2,2,D,A Marriner,4,4,0,0,26,24,27,87,0,8,12,25,43,0,0,0,0,0,0,0,0,0,0,0
2015-11-21,Watford,Man United,1,2,A,R Madley,5,6,0,0,24,21,25,70,1,35,27,18,83,1,0,1,6,8,0,6,6,1,20,0
2015-11-21,West Brom,Arsenal,2,1,H,M Clattenburg,1,3,0,0,25,21,28,72,2,41,35,14,136,2,5,10,21,38,0,23,21,10,78,1
2015-11-22,Tottenham,West Ham,4,1,H,A Taylor,12,4,0,0,32,28,18,104,1,26,27,26,79,4,17,13,12,92,2,11,12,13,64,1
2015-11-23,Crystal Palace,Sunderland,0,1,A,M Atkinson,7,4,0,0,31,25,22,87,1,18,21,35,76,2,7,8,5,17,1,4,5,8,14,1
2015-11-28,Aston Villa,Watford,2,3,A,L Mason,6,6,0,0,15,21,39,66,1,24,22,26,69,1,4,2,0,10,0,1,0,2,11,0
2015-11-28,Bournemouth,Everton,3,3,D,K Friend,10,6,0,0,9,14,27,47,0,30,33,24,99,2,0,0,0,0,0,0,0,0,0,0
2015-11-28,Crystal Palace,Newcastle,5,1,H,S Attwell,8,2,0,0,28,23,22,91,1,14,20,39,78,6,3,4,10,23,0,12,10,4,37,0
2015-11-28,Leicester,Man United,1,1,D,C Pawson,3,2,0,0,44,42,24,98,0,35,26,18,82,1,3,7,19,28,0,21,19,7,55,1
2015-11-28,Man City,Southampton,3,1,H,R East,9,8,0,0,44,47,21,128,0,27,31,25,96,3,20,19,11,77,1,8,11,19,48,0
2015-11-28,Sunderland,Stoke,2,0,H,M Dean,5,3,0,1,18,21,35,76,2,31,24,18,79,3,18,15,8,50,2,9,8,15,61,2
2015-11-29,Liverpool,Swansea,1,0,H,A Taylor,2,0,0,0,28,24,27,105,1,24,23,28,87,0,15,16,7,82,0,6,7,16,42,0
2015-11-29,Norwich,Arsenal,1,1,D,J Moss,2,3,0,0,13,18,38,80,2,38,32,15,129,2,4,9,22,35,0,19,22,9,90,0
2015-11-29,Tottenham,Chelsea,0,0,D,M Oliver,4,1,0,0,34,32,19,114,1,28,26,29,86,4,8,13,21,65,1,17,21,13,71,1
2015-11-29,West Ham,West Brom,1,1,D,M Atkinson,6,3,0,0,26,27,28,76,4,28,22,25,67,1,12,16,15,61,0,12,15,16,71,1
2015-12-05,Arsenal,Sunderland,3,1,H,R Madley,7,4,0,0,36,32,16,127,2,21,22,31,78,2,22,15,5,74,2,4,5,15,37,0
2015-12-05,Chelsea,Bournemouth,0,1,A,M Jones,6,5,0,0,26,25,29,85,4,10,17,30,57,0,0,0,0,0,0,0,0,0,0,0
2015-12-05,Man United,West Ham,0,0,D,M Clattenburg,1,2,0,0,33,23,17,77,1,26,27,28,79,4,26,25,7,86,2,2,7,25,34,0
2015-12-05,Southampton,Aston Villa,1,1,D,A Taylor,5,2,0,0,24,30,28,100,3,14,20,39,65,1,12,17,13,57,0,15,13,17,52,0
2015-12-05,Stoke,Man City,2,0,H,M Atkinson,4,4,0,0,30,23,19,80,4,47,48,18,134,0,7,5,17,32,0,19,17,5,80,0
2015-12-05,Swansea,Leicester,0,3,A,M Oliver,2,5,0,0,23,22,28,84,0,42,41,25,95,0,3,2,2,9,0,3,2,2,10,0
2015-12-05,Watford,Norwich,2,0,H,M Dean,7,1,0,0,27,24,24,72,1,14,19,36,78,2,0,0,0,0,0,0,0,0,0,0
2015-12-05,West Brom,Tottenham,1,1,D,J Moss,4,3,0,0,29,21,23,65,1,35,32,18,115,1,8,10,16,44,1,17,16,10,85,0
2015-12-06,Newcastle,Liverpool,2,0,H,A Marriner,1,1,0,0,14,21,42,77,5,28,23,27,101,1,11,11,20,33,6,17,20,11,68,1
2015-12-07,Everton,Crystal Palace,1,1,D,C Pawson,4,5,0,0,30,35,26,97,2,28,24,22,94,1,10,12,7,30,1,7,7,12,24,0
2015-12-12,Bournemouth,Man United,2,1,H,A Taylor,5,5,0,0,13,18,30,62,0,34,23,16,76,1,0,0,0,0,0,0,0,0,0,0
2015-12-12,Crystal Palace,Southampton,1,0,H,M Dean,5,3,0,0,29,25,21,95,1,25,30,27,99,3,2,5,11,22,1,14,11,5,26,1
